id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
775,Tymur,Tutierov,Tutierov,u,has joined Exeter City on loan for the rest of the season.,,4.5,497,306.0,0.0,824,368.0,0.0,658.0,253.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,749.0,314.0,0.0,0.0,747.0,312.0,740.0,312.0,727.0,308.0,747.0,312.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
800,Djiamgone Jocelin Ta,Bi,Jocelin.T,d,Ankle injury - 50% chance of playing,,4.9,345,215.0,0.0,823,367.0,0.0,734.0,308.0,0,0,0.0,-1,1.0,0,0,0.0,0.2,0.2,0.0,1.0,499.0,228.0,50.0,25.0,489.0,223.0,451.0,217.0,456.0,225.0,490.0,224.0,,,,,,,,0.0,0.09,0.09,0.57,0.0,0.0,0.0,2.37,7.11,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
812,Melker,Ellborg,Ellborg,a,,,4.0,708,61.0,0.1,462,68.0,0.0,453.0,72.0,0,0,0.0,0,0.0,9,49,0.0,4.0,0.5,0.0,5.3,7.0,2.0,,,398.0,29.0,595.0,71.0,564.0,57.0,437.0,29.0,,,,,,,,0.0,0.01,0.01,1.37,3.33,0.33,0.67,1.0,0.0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
813,Nilson,Angulo,Angulo,d,Unknown - 50% chance of playing,,5.0,276,170.0,0.0,790,345.0,0.0,751.0,322.0,0,0,0.0,0,0.0,1,0,0.0,1.8,0.2,0.0,1.8,379.0,162.0,50.0,0.0,432.0,189.0,388.0,195.0,323.0,169.0,413.0,188.0,,,,,,,,0.17,0.03,0.2,2.0,0.0,0.35,1.42,1.06,8.15,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
821,Jack,Whittaker,Whittaker,a,,,4.5,476,290.0,0.0,818,363.0,0.0,637.0,237.0,0,0,0.0,0,0.0,1,0,0.0,0.0,0.5,0.0,0.0,733.0,302.0,,,730.0,299.0,724.0,300.0,710.0,295.0,731.0,300.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
822,Jaydon,Jones,Jones,a,,,4.5,477,291.0,0.0,810,358.0,0.0,638.0,238.0,0,0,0.0,0,0.0,1,0,0.0,0.0,0.5,0.0,0.0,734.0,303.0,,,731.0,300.0,725.0,301.0,711.0,296.0,732.0,301.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
565,Guglielmo,Vicario,Vicario,d,Hernia - 50% chance of playing,,4.7,381,17.0,5.0,79,13.0,0.0,686.0,91.0,0,0,0.0,-3,3.0,4,478,0.0,19.1,0.0,0.0,2.9,208.0,24.0,50.0,0.0,35.0,10.0,427.0,7.0,752.0,83.0,199.0,9.0,,,,,,,,0.0,0.0,0.0,1.49,2.68,0.23,1.61,1.0,0.0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,5535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
566,Brandon,Austin,Austin,a,,,3.9,760,79.0,0.3,331,47.0,0.0,387.0,37.0,0,0,0.0,-1,1.0,1,7,0.0,0.0,0.0,0.5,0.0,555.0,50.0,,,544.0,50.0,532.0,34.0,500.0,20.0,546.0,50.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
567,Antonín,Kinský,Kinsky,a,,,3.9,774,86.0,1.7,152,20.0,1.0,206.0,15.0,0,0,0.0,-1,1.0,96,112,0.3,0.8,1.0,1.5,1.5,407.0,35.0,,,445.0,34.0,542.0,41.0,510.0,27.0,468.0,34.0,,,,,,,,0.0,0.0,0.0,1.08,1.0,0.0,1.5,1.0,0.0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10160,1612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
568,Pedro,Porro Sauceda,Pedro Porro,a,,,5.2,211,29.0,10.8,34,11.0,3.7,67.0,28.0,0,1,-1.0,-3,3.0,1616,1025,0.7,18.1,3.7,4.2,3.2,178.0,71.0,100.0,100.0,67.0,31.0,18.0,1.0,178.0,41.0,48.0,6.0,3.0,2.0,,,,,,0.03,0.13,0.16,1.32,0.0,0.27,1.38,1.04,6.68,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111116,4475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
