player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,top_speed,distance_covered,walking_distance,running_distance,sprinting_distance,number_of_sprints,defensive_contributions
219,26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,45.0,0.0,0.0,2.0,0.28,0.01,1.0,1,,2.0,15.0,8.0,89.0,1.0,,0,,0,,0.0,0.0,1.0,0.0,0.0,,1.0,3.0,3.0,2.0,40.0,1.0,100.0,1.0,0.0,0,1,,,,,,2.0,,,,,,,0.25,0,0,46,1,0,0,,,,,,,
215,26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,45.0,0.0,0.0,0,,0.01,0,2,,0.0,41.0,27.0,84.0,0.0,4.0,0.0,0.0,0,,1.0,1.0,4.0,0.0,0.0,,0.0,3.0,2.0,3.0,60.0,0.0,,0,1.0,0,0,,,,,,0.0,,,,,,,,1,46,90,0,0,0,,,,,,,
220,26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,25.0,0.0,0.0,0,,,0,0,,0.0,16.0,10.0,77.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,100.0,0,0.0,0,0,,,,,,0.0,,,,,,,,0,46,70,0,0,0,,,,,,,
216,26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,45.0,0.0,1.0,2.0,0.17,0.06,0.0,0,,2.0,30.0,14.0,82.0,1.0,1.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,6.0,4.0,5.0,56.0,1.0,100.0,5.0,1.0,0,1,,,,,,0.0,,,,,,,,0,0,46,1,0,0,,,,,,,
203,26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,45.0,0.0,0.0,0,,0.01,0,1,,0.0,47.0,34.0,85.0,0.0,7.0,0,,3.0,60.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,50.0,2.0,100.0,0,1.0,0,0,,,,,,0.0,,,,,,,,0,46,90,0,0,0,,,,,,,
414,26-27-friendly-manchester-united-vs-wrexham-2026-07-18,45.0,0,0,0,,,0,0,,,12.0,9,,0,1.0,0,,3,,0.0,0.0,1.0,,0.0,,,,,,,,,0,0.0,0.0,1.0,,,0.0,9.0,3.0,0,0.0,,0.0,,,,,0,0,46,1,0,0,,,,,,,
418,26-27-friendly-manchester-united-vs-wrexham-2026-07-18,45.0,0.0,0.0,0,,,0,0,,0.0,59.0,49.0,92.0,0.0,9.0,0,,4.0,57.0,1.0,0.0,3.0,0.0,4.0,3.0,0.0,1.0,,1.0,100.0,0.0,,0,0.0,0,1,,,,,,0.0,,,,,,,,1,0,46,1,0,0,,,,,,,
423,26-27-friendly-manchester-united-vs-wrexham-2026-07-18,45.0,0.0,0.0,0,,,0,0,,1.0,38.0,27.0,87.0,0.0,2.0,0.0,0.0,1.0,50.0,0.0,0.0,2.0,0.0,0.0,,0.0,,2.0,0.0,0.0,0.0,,0,0.0,0,1,,,,,,1.0,,,,,,,,0,0,46,1,0,0,,,,,,,
430,26-27-friendly-manchester-united-vs-wrexham-2026-07-18,45.0,0.0,0.0,0,,,0,0,,0.0,49.0,35.0,90.0,0.0,4.0,0.0,0.0,2.0,100.0,2.0,2.0,2.0,0.0,0.0,,0.0,2.0,,2.0,100.0,0.0,,0,0.0,0,1,,,,,,0.0,,,,,,,,1,0,46,1,0,0,,,,,,,
427,26-27-friendly-manchester-united-vs-wrexham-2026-07-18,45.0,0.0,0.0,0,,,0,1,,2.0,27.0,10.0,62.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,1.0,3.0,3.0,3.0,50.0,0.0,,2.0,0.0,0,1,,,,,,1.0,,,,,,,,0,0,46,1,0,0,,,,,,,
