player_id,match_id,player_name,rating,possession_lost,attacking_shots_blocked,total_passes,total_long_balls,total_crosses,total_dribbles,ground_duels_lost,aerial_duels_lost,yellow_cards,red_cards,goalkeeper_punches,penalties_won,penalties_conceded,penalties_faced,penalties_saved
547,26-27-friendly-liverpool-vs-sunderland-2026-07-25,Mundle,6.5,2,0,4,0,0,1,2,0,0,0,0,,,,
548,26-27-friendly-liverpool-vs-sunderland-2026-07-25,Rigg,6.7,4,2,17,0,1,1,2,0,0,0,0,,,,
553,26-27-friendly-liverpool-vs-sunderland-2026-07-25,Isidor,6.3,4,0,5,1,0,0,2,1,0,0,0,,,,
414,26-27-friendly-manchester-united-vs-wrexham-2026-07-18,Heaton,6.4,2,0,11,5,0,0,0,0,0,0,0,,,,
415,26-27-friendly-manchester-united-vs-wrexham-2026-07-18,Dorgu,6.3,7,1,14,1,1,0,4,3,0,0,0,,,,
418,26-27-friendly-manchester-united-vs-wrexham-2026-07-18,Maguire,6.8,4,0,52,7,0,0,0,0,0,0,0,,,,
420,26-27-friendly-manchester-united-vs-wrexham-2026-07-18,Yoro,6.6,7,0,29,0,1,0,1,0,0,0,0,,,,
421,26-27-friendly-manchester-united-vs-wrexham-2026-07-18,Heaven,6.7,5,0,49,0,0,0,0,0,0,0,0,,,,
423,26-27-friendly-manchester-united-vs-wrexham-2026-07-18,Shaw,6.2,8,0,31,2,1,1,2,0,0,0,0,,,,
424,26-27-friendly-manchester-united-vs-wrexham-2026-07-18,Amass,6.8,7,0,31,2,1,0,2,1,0,0,0,,,,
427,26-27-friendly-manchester-united-vs-wrexham-2026-07-18,Mbeumo,6.6,10,0,16,1,1,2,2,0,0,0,0,,,,
430,26-27-friendly-manchester-united-vs-wrexham-2026-07-18,Mount,6.8,6,0,39,2,1,0,0,0,0,0,0,,,,
434,26-27-friendly-manchester-united-vs-wrexham-2026-07-18,J.Fletcher,6.3,8,0,20,2,0,1,3,0,0,0,0,,,,
435,26-27-friendly-manchester-united-vs-wrexham-2026-07-18,Lacey,6.6,8,0,24,0,4,2,4,0,0,0,0,,,,
436,26-27-friendly-manchester-united-vs-wrexham-2026-07-18,Collyer,6.6,2,0,21,0,0,0,2,1,0,0,0,,,,
438,26-27-friendly-manchester-united-vs-wrexham-2026-07-18,Fletcher,7.0,3,0,37,5,0,0,0,0,0,0,0,,,,
440,26-27-friendly-manchester-united-vs-wrexham-2026-07-18,Zirkzee,6.4,6,1,13,0,0,1,2,1,0,0,0,,,,
455,26-27-friendly-tottenham-hotspur-vs-milton-keynes-dons-2026-07-22,Tonali,6.9,3,0,70,3,0,0,1,0,0,0,0,,,,
496,26-27-friendly-tottenham-hotspur-vs-milton-keynes-dons-2026-07-22,Kinsky,6.7,1,0,18,2,0,1,0,0,0,0,0,,,,
497,26-27-friendly-tottenham-hotspur-vs-milton-keynes-dons-2026-07-22,Dubravka,7.0,1,0,35,2,0,0,0,0,0,0,0,,,,
508,26-27-friendly-tottenham-hotspur-vs-milton-keynes-dons-2026-07-22,Davies,7.2,2,0,49,1,0,0,0,0,0,0,0,,,,
514,26-27-friendly-tottenham-hotspur-vs-milton-keynes-dons-2026-07-22,Tel,7.7,6,0,18,0,3,2,3,0,0,0,0,,,,
519,26-27-friendly-tottenham-hotspur-vs-milton-keynes-dons-2026-07-22,Gallagher,6.3,4,0,44,1,0,0,1,0,0,0,0,,,,
522,26-27-friendly-tottenham-hotspur-vs-milton-keynes-dons-2026-07-22,Gray,6.8,9,0,47,1,2,0,3,1,0,0,0,,,,
523,26-27-friendly-tottenham-hotspur-vs-milton-keynes-dons-2026-07-22,Moore,6.9,2,1,12,1,0,1,0,0,0,0,0,,,,
525,26-27-friendly-tottenham-hotspur-vs-milton-keynes-dons-2026-07-22,Fernandes,7.4,10,0,76,4,0,0,3,0,0,0,0,,,,
528,26-27-friendly-tottenham-hotspur-vs-milton-keynes-dons-2026-07-22,Scarlett,6.4,4,0,5,0,1,0,1,0,0,0,0,,,,
