entity,season,canonical_id,canonical_name,resolution_method,confidence
event,2026-2027,26-27-friendly-manchester-united-vs-paris-saint-germain-2026-08-08,26-27-friendly-manchester-united-vs-paris-saint-germain-2026-08-08,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-manchester-united-vs-wrexham-2026-07-18,26-27-friendly-manchester-united-vs-wrexham-2026-07-18,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-newcastle-united-vs-darlington-2026-07-18,26-27-friendly-newcastle-united-vs-darlington-2026-07-18,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-northampton-town-vs-coventry-city-2026-07-18,26-27-friendly-northampton-town-vs-coventry-city-2026-07-18,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-nottingham-forest-vs-blackburn-rovers-2026-07-22,26-27-friendly-nottingham-forest-vs-blackburn-rovers-2026-07-22,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-notts-county-vs-nottingham-forest-2026-07-18,26-27-friendly-notts-county-vs-nottingham-forest-2026-07-18,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-oxford-united-vs-ipswich-town-2026-08-01,26-27-friendly-oxford-united-vs-ipswich-town-2026-08-01,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-real-betis-vs-afc-bournemouth-2026-08-08,26-27-friendly-real-betis-vs-afc-bournemouth-2026-08-08,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-stoke-city-vs-everton-2026-07-28,26-27-friendly-stoke-city-vs-everton-2026-07-28,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-sunderland-vs-wrexham-2026-08-02,26-27-friendly-sunderland-vs-wrexham-2026-08-02,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-valencia-vs-newcastle-united-2026-08-08,26-27-friendly-valencia-vs-newcastle-united-2026-08-08,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-vfb-stuttgart-vs-everton-2026-08-08,26-27-friendly-vfb-stuttgart-vs-everton-2026-08-08,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-walsall-vs-aston-villa-2026-07-21,26-27-friendly-walsall-vs-aston-villa-2026-07-21,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-western-sydney-wanderers-fc-vs-chelsea-2026-07-28,26-27-friendly-western-sydney-wanderers-fc-vs-chelsea-2026-07-28,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-wycombe-wanderers-vs-ipswich-town-2026-08-01,26-27-friendly-wycombe-wanderers-vs-ipswich-town-2026-08-01,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-york-city-vs-sunderland-2026-07-18,26-27-friendly-york-city-vs-sunderland-2026-07-18,evaluator_exact_opponents_and_kickoff,high
player,2025-2026,6,Saliba,full_name,high
player,2025-2026,7,Calafiori,full_name,high
player,2025-2026,8,J.Timber,full_name,high
player,2025-2026,10,Lewis-Skelly,full_name,high
player,2025-2026,16,Saka,full_name,high
player,2025-2026,20,Trossard,full_name,high
player,2025-2026,21,Rice,full_name,high
player,2025-2026,24,Nørgaard,full_name,high
player,2025-2026,25,Nwaneri,full_name,high
player,2025-2026,27,Nelson,full_name,high
player,2025-2026,36,Cash,full_name,high
player,2025-2026,37,Digne,full_name,high
player,2025-2026,39,Maatsen,full_name,high
player,2025-2026,40,Mings,full_name,high
player,2025-2026,41,Pau,full_name,high
player,2025-2026,47,Rogers,full_name,high
player,2025-2026,52,J.Ramsey,full_name,high
player,2025-2026,53,Malen,full_name,high
player,2025-2026,54,McGinn,full_name,high
player,2025-2026,55,Barkley,full_name,high
player,2025-2026,58,Kamara,full_name,high
player,2025-2026,59,Onana,full_name,high
player,2025-2026,64,Watkins,full_name,high
player,2025-2026,67,Petrović,full_name,high
player,2025-2026,74,Truffert,full_name,high
player,2025-2026,81,Kluivert,full_name,high
player,2025-2026,82,Semenyo,full_name,high
player,2025-2026,83,O.Dango,full_name,high
player,2025-2026,84,Tavernier,full_name,high
player,2025-2026,85,Adams,full_name,high
player,2025-2026,86,Brooks,full_name,high
player,2025-2026,87,Christie,full_name,high
player,2025-2026,88,Cook,full_name,high
player,2025-2026,90,Scott,full_name,high
player,2025-2026,97,Evanilson,full_name,high
player,2025-2026,101,Kelleher,full_name,high
player,2025-2026,106,Collins,full_name,high
player,2025-2026,107,Lewis-Potter,full_name,high
player,2025-2026,108,Ajer,full_name,high
player,2025-2026,110,Kayode,full_name,high
player,2025-2026,113,Van den Berg,full_name,high
player,2025-2026,119,Mbeumo,full_name,high
player,2025-2026,120,Schade,full_name,high
player,2025-2026,121,Damsgaard,full_name,high
player,2025-2026,124,Henderson,full_name,high
player,2025-2026,125,Janelt,full_name,high
player,2025-2026,126,Jensen,full_name,high
player,2025-2026,129,Yarmoliuk,full_name,high
player,2025-2026,139,Verbruggen,full_name,high
player,2025-2026,146,Dunk,full_name,high
player,2025-2026,148,F.Kadıoğlu,full_name,high
player,2025-2026,151,Van Hecke,full_name,high
player,2025-2026,158,Georginio,full_name,high
player,2025-2026,160,Minteh,full_name,high
player,2025-2026,166,Ayari,full_name,high
player,2025-2026,167,Baleba,full_name,high
player,2025-2026,172,Watson,full_name,high
player,2025-2026,173,Wieffer,full_name,high
player,2025-2026,175,Knight,full_name,high
player,2025-2026,178,Welbeck,full_name,high
player,2025-2026,180,Tzimas,full_name,high
player,2025-2026,181,Kostoulas,full_name,high
player,2025-2026,187,Walker,full_name,high
player,2025-2026,191,Estève,full_name,high
player,2025-2026,192,Hartman,full_name,high
player,2025-2026,198,Tuanzebe,full_name,high
player,2025-2026,200,Anthony,full_name,high
player,2025-2026,202,Bruun Larsen,full_name,high
player,2025-2026,205,Cullen,full_name,high
player,2025-2026,206,Edwards,full_name,high
player,2025-2026,207,Hannibal,full_name,high
player,2025-2026,209,Laurent,full_name,high
player,2025-2026,210,Tchaouna,full_name,high
player,2025-2026,215,Flemming,full_name,high
player,2025-2026,225,James,full_name,high
player,2025-2026,226,Chalobah,full_name,high
player,2025-2026,228,Gusto,full_name,high
player,2025-2026,230,Fofana,full_name,high
player,2025-2026,232,Tosin,full_name,high
player,2025-2026,237,Enzo,full_name,high
player,2025-2026,238,Estêvão,full_name,high
player,2025-2026,242,Dewsbury-Hall,full_name,high
player,2025-2026,244,Lavia,full_name,high
player,2025-2026,249,João Pedro,full_name,high
player,2025-2026,253,Henderson,full_name,high
player,2025-2026,257,Lacroix,full_name,high
player,2025-2026,258,Mitchell,full_name,high
player,2025-2026,260,Guéhi,full_name,high
player,2025-2026,261,Richards,full_name,high
player,2025-2026,266,Eze,full_name,high
player,2025-2026,267,Sarr,full_name,high
player,2025-2026,270,Hughes,full_name,high
player,2025-2026,271,Kamada,full_name,high
player,2025-2026,276,Devenny,full_name,high
player,2025-2026,283,Mateta,full_name,high
player,2025-2026,287,Pickford,full_name,high
player,2025-2026,291,Tarkowski,full_name,high
player,2025-2026,293,O'Brien,full_name,high
player,2025-2026,295,Keane,full_name,high
player,2025-2026,299,Ndiaye,full_name,high
player,2025-2026,300,McNeil,full_name,high
player,2025-2026,302,Gana,full_name,high
player,2025-2026,303,Garner,full_name,high
player,2025-2026,304,Iroegbunam,full_name,high
player,2025-2026,310,Barry,full_name,high
player,2025-2026,311,Beto,full_name,high
player,2025-2026,314,Leno,full_name,high
player,2025-2026,317,Andersen,full_name,high
player,2025-2026,318,Bassey,full_name,high
player,2025-2026,322,Tete,full_name,high
player,2025-2026,324,Iwobi,full_name,high
player,2025-2026,325,Smith Rowe,full_name,high
player,2025-2026,328,Sessegnon,full_name,high
player,2025-2026,329,Wilson,full_name,high
player,2025-2026,330,Berge,full_name,high
player,2025-2026,331,Cairney,full_name,high
player,2025-2026,342,Bogle,full_name,high
player,2025-2026,344,Bijol,full_name,high
player,2025-2026,347,Gudmundsson,full_name,high
player,2025-2026,348,Rodon,full_name,high
player,2025-2026,350,Aaronson,full_name,high
player,2025-2026,352,Harrison,full_name,high
player,2025-2026,353,James,full_name,high
player,2025-2026,354,Ampadu,full_name,high
player,2025-2026,365,Nmecha,full_name,high
player,2025-2026,367,Mamardashvili,full_name,high
player,2025-2026,373,Virgil,full_name,high
player,2025-2026,374,Konaté,full_name,high
player,2025-2026,375,Bradley,full_name,high
player,2025-2026,381,M.Salah,full_name,high
player,2025-2026,382,Wirtz,full_name,high
player,2025-2026,384,Gakpo,full_name,high
player,2025-2026,386,Mac Allister,full_name,high
player,2025-2026,387,Szoboszlai,full_name,high
player,2025-2026,390,Gravenberch,full_name,high
player,2025-2026,391,Gannon-Doak,full_name,high
player,2025-2026,402,Aït-Nouri,full_name,high
player,2025-2026,403,Gvardiol,full_name,high
player,2025-2026,407,Matheus N.,full_name,high
player,2025-2026,411,O'Reilly,full_name,high
player,2025-2026,413,Marmoush,full_name,high
player,2025-2026,414,Foden,full_name,high
player,2025-2026,415,Savinho,full_name,high
player,2025-2026,417,Cherki,full_name,high
player,2025-2026,418,Doku,full_name,high
player,2025-2026,419,Grealish,full_name,high
player,2025-2026,427,Reijnders,full_name,high
player,2025-2026,430,Haaland,full_name,high
player,2025-2026,436,De Ligt,full_name,high
player,2025-2026,438,Mazraoui,full_name,high
player,2025-2026,441,Dorgu,full_name,high
player,2025-2026,443,Shaw,full_name,high
player,2025-2026,444,Yoro,full_name,high
player,2025-2026,452,Amad,full_name,high
player,2025-2026,456,Sancho,full_name,high
player,2025-2026,457,Casemiro,full_name,high
player,2025-2026,469,Pope,full_name,high
player,2025-2026,470,Dúbravka,full_name,high
player,2025-2026,474,Schär,full_name,high
player,2025-2026,475,Botman,full_name,high
player,2025-2026,476,Burn,full_name,high
player,2025-2026,479,Krafth,full_name,high
player,2025-2026,485,Gordon,full_name,high
player,2025-2026,486,Elanga,full_name,high
player,2025-2026,487,Barnes,full_name,high
player,2025-2026,489,J.Murphy,full_name,high
player,2025-2026,490,Joelinton,full_name,high
player,2025-2026,491,Tonali,full_name,high
player,2025-2026,493,Longstaff,full_name,high
player,2025-2026,500,Osula,full_name,high
player,2025-2026,502,Sels,full_name,high
player,2025-2026,505,Milenković,full_name,high
player,2025-2026,506,Murillo,full_name,high
player,2025-2026,508,N.Williams,full_name,high
player,2025-2026,515,Gibbs-White,full_name,high
player,2025-2026,516,Hudson-Odoi,full_name,high
player,2025-2026,517,Anderson,full_name,high
player,2025-2026,521,Sangaré,full_name,high
player,2025-2026,522,Yates,full_name,high
player,2025-2026,526,Igor Jesus,full_name,high
player,2025-2026,527,Awoniyi,full_name,high
player,2025-2026,531,Ballard,full_name,high
player,2025-2026,532,Hume,full_name,high
player,2025-2026,541,Reinildo,full_name,high
player,2025-2026,547,E.Le Fée,full_name,high
player,2025-2026,552,Sadiki,full_name,high
