player_id,match_id,player_name,rating,possession_lost,attacking_shots_blocked,total_passes,total_long_balls,total_crosses,total_dribbles,ground_duels_lost,aerial_duels_lost,yellow_cards,red_cards,goalkeeper_punches,penalties_won,penalties_conceded,penalties_faced,penalties_saved
542,26-27-friendly-liverpool-vs-sunderland-2026-07-25,E.Le Fée,7.4,5,0,24,1,0,0,3,1,0,0,0,,,,
547,26-27-friendly-liverpool-vs-sunderland-2026-07-25,Mundle,6.5,2,0,4,0,0,1,2,0,0,0,0,,,,
548,26-27-friendly-liverpool-vs-sunderland-2026-07-25,Rigg,6.7,4,2,17,0,1,1,2,0,0,0,0,,,,
553,26-27-friendly-liverpool-vs-sunderland-2026-07-25,Isidor,6.3,4,0,5,1,0,0,2,1,0,0,0,,,,
162,26-27-friendly-manchester-united-vs-wrexham-2026-07-18,Andrey Santos,7,4,0,42,2,0,1,2,0,0,0,0,,,,
414,26-27-friendly-manchester-united-vs-wrexham-2026-07-18,Heaton,6.4,2,0,11,5,0,0,0,0,0,0,0,,,,
415,26-27-friendly-manchester-united-vs-wrexham-2026-07-18,Dorgu,6.3,7,1,14,1,1,0,4,3,0,0,0,,,,
418,26-27-friendly-manchester-united-vs-wrexham-2026-07-18,Maguire,6.8,4,0,52,7,0,0,0,0,0,0,0,,,,
420,26-27-friendly-manchester-united-vs-wrexham-2026-07-18,Yoro,6.6,7,0,29,0,1,0,1,0,0,0,0,,,,
421,26-27-friendly-manchester-united-vs-wrexham-2026-07-18,Heaven,6.7,5,0,49,0,0,0,0,0,0,0,0,,,,
423,26-27-friendly-manchester-united-vs-wrexham-2026-07-18,Shaw,6.2,8,0,31,2,1,1,2,0,0,0,0,,,,
424,26-27-friendly-manchester-united-vs-wrexham-2026-07-18,Amass,6.8,7,0,31,2,1,0,2,1,0,0,0,,,,
427,26-27-friendly-manchester-united-vs-wrexham-2026-07-18,Mbeumo,6.6,10,0,16,1,1,2,2,0,0,0,0,,,,
430,26-27-friendly-manchester-united-vs-wrexham-2026-07-18,Mount,6.8,6,0,39,2,1,0,0,0,0,0,0,,,,
434,26-27-friendly-manchester-united-vs-wrexham-2026-07-18,J.Fletcher,6.3,8,0,20,2,0,1,3,0,0,0,0,,,,
435,26-27-friendly-manchester-united-vs-wrexham-2026-07-18,Lacey,6.6,8,0,24,0,4,2,4,0,0,0,0,,,,
436,26-27-friendly-manchester-united-vs-wrexham-2026-07-18,Collyer,6.6,2,0,21,0,0,0,2,1,0,0,0,,,,
438,26-27-friendly-manchester-united-vs-wrexham-2026-07-18,Fletcher,7,3,0,37,5,0,0,0,0,0,0,0,,,,
440,26-27-friendly-manchester-united-vs-wrexham-2026-07-18,Zirkzee,6.4,6,1,13,0,0,1,2,1,0,0,0,,,,
104,26-27-friendly-northampton-town-vs-coventry-city-2026-07-18,Onyeka,,0,0,0,0,0,0,0,0,0,0,0,,,,
171,26-27-friendly-northampton-town-vs-coventry-city-2026-07-18,Dovin,,0,0,0,0,0,0,0,0,0,0,0,,,,
172,26-27-friendly-northampton-town-vs-coventry-city-2026-07-18,Wilson,,0,0,0,0,0,0,0,0,0,0,0,,,,
173,26-27-friendly-northampton-town-vs-coventry-city-2026-07-18,Thomas,,0,0,0,0,0,0,0,0,0,0,0,,,,
174,26-27-friendly-northampton-town-vs-coventry-city-2026-07-18,Kitching,,0,0,0,0,0,0,0,0,0,0,0,,,,
175,26-27-friendly-northampton-town-vs-coventry-city-2026-07-18,van Ewijk,,0,0,0,0,0,0,0,0,0,0,0,,,,
176,26-27-friendly-northampton-town-vs-coventry-city-2026-07-18,Dasilva,,0,0,0,0,0,0,0,0,0,0,0,,,,
177,26-27-friendly-northampton-town-vs-coventry-city-2026-07-18,Kesler-Hayden,,0,0,0,0,0,0,0,0,0,0,0,,,,
178,26-27-friendly-northampton-town-vs-coventry-city-2026-07-18,Bidwell,,0,0,0,0,0,0,0,0,0,0,0,,,,
179,26-27-friendly-northampton-town-vs-coventry-city-2026-07-18,Latibeaudiere,,0,0,0,0,0,0,0,0,0,0,0,,,,
184,26-27-friendly-northampton-town-vs-coventry-city-2026-07-18,Grimes,,0,0,0,0,0,0,0,0,0,0,0,,,,
185,26-27-friendly-northampton-town-vs-coventry-city-2026-07-18,Sakamoto,,0,0,0,0,0,0,0,0,0,0,0,,,,
186,26-27-friendly-northampton-town-vs-coventry-city-2026-07-18,Mason-Clark,,0,0,0,0,0,0,0,0,0,0,0,,,,
187,26-27-friendly-northampton-town-vs-coventry-city-2026-07-18,Eccles,,0,0,0,0,0,0,0,0,0,0,0,,,,
188,26-27-friendly-northampton-town-vs-coventry-city-2026-07-18,Torp,,0,0,0,0,0,0,0,0,0,0,0,,,,
190,26-27-friendly-northampton-town-vs-coventry-city-2026-07-18,Tchaouna,,0,0,0,0,0,0,0,0,0,0,0,,,,
195,26-27-friendly-northampton-town-vs-coventry-city-2026-07-18,Simms,,0,0,0,0,0,0,0,0,0,0,0,,,,
196,26-27-friendly-northampton-town-vs-coventry-city-2026-07-18,Markelo,,0,0,0,0,0,0,0,0,0,0,0,,,,
467,26-27-friendly-nottingham-forest-vs-blackburn-rovers-2026-07-22,Sels,,0,0,0,0,0,0,0,0,0,0,0,,,,
469,26-27-friendly-nottingham-forest-vs-blackburn-rovers-2026-07-22,N.Williams,,0,0,0,0,0,0,0,0,0,0,0,,,,
470,26-27-friendly-nottingham-forest-vs-blackburn-rovers-2026-07-22,Morato,,0,0,0,0,0,0,0,0,0,0,0,,,,
471,26-27-friendly-nottingham-forest-vs-blackburn-rovers-2026-07-22,Milenković,,0,0,0,0,0,0,0,0,0,0,0,,,,
