id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
118,u,0.0,0.0,4.0,703,181.0,0,0.0,0,0.0,0.0,612,218.0,0,0,0.0,608.0,224.0,0,0,0.0,452.0,171.0,0.0,0.0,0.0,279,0,11030,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599.0,224.0,0.0,591.0,224.0,0.0,559.0,220.0,0.0,601.0,224.0,,,,33,,Jayden,Meghoma,Meghoma,Has joined Rangers on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
120,a,100.0,100.0,7.0,38,23.0,0,0.0,0,0.0,1.7,151,53.0,110,3,3.7,106.0,48.0,5,354,4.0,70.0,25.0,0.6,15.7,0.0,930986,2001,770644,2732,3.5,4.0,10.96,2.04,13.0,31.81,0.41,0.08,0.49,1.2,491.0,100.0,33.0,373.9,77.0,59.0,735.0,13.0,6.0,159.5,31.0,24.0,,,3.0,33,,Kevin,Schade,Schade,,,2386,7,5,10,28,0,0,1,6,1,0,28,172,,,,0.0,0.38,1.06,1.06,6.49,37,50,85
121,a,100.0,100.0,5.6,129,80.0,0,0.0,-4,4.0,0.8,216,75.0,93,5,3.3,158.0,66.0,6,381,3.0,111.0,43.0,0.5,16.6,0.0,189213,347,214805,902,2.5,3.0,2.03,4.16,6.19,24.86,0.11,0.22,0.33,1.32,436.4,127.0,42.0,557.4,31.0,28.0,262.0,110.0,66.0,125.8,66.0,42.0,,3.0,,33,,Mikkel,Damsgaard,Damsgaard,,,1701,3,4,4,27,0,0,0,0,0,0,20,196,,,,0.0,0.21,1.43,1.06,10.37,50,35,111
774,a,,,4.0,678,169.0,0,0.0,0,0.0,0.0,678,239.0,0,0,0.0,588.0,216.0,0,0,0.0,428.0,160.0,0.0,0.0,0.0,1790,26,1171,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.0,215.0,0.0,570.0,215.0,0.0,538.0,211.0,0.0,580.0,215.0,,,,33,,Jenson,Jones,Jenson Jones,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
751,u,0.0,0.0,4.5,490,302.0,0,0.0,0,0.0,0.0,787,342.0,0,0,0.0,744.0,311.0,0,0,0.0,656.0,251.0,0.0,0.0,0.0,675,0,653,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,742.0,309.0,0.0,735.0,309.0,0.0,722.0,305.0,0.0,742.0,309.0,,,,33,,Yusuf,Akhamrich,Akhamrich,has joined Bristol Rovers on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
747,a,,,4.0,731,201.0,0,0.0,0,0.0,0.0,626,224.0,6,0,1.0,461.0,168.0,0,18,0.0,479.0,191.0,0.0,1.5,0.0,2723,10,2345,14,0.0,0.0,0.12,0.49,0.61,3.21,0.1,0.39,0.49,2.56,21.8,454.0,166.0,34.9,377.0,135.0,9.0,421.0,158.0,6.6,443.0,160.0,,,,33,,Ezra,Mayers,Mayers,,,113,0,0,0,3,0,0,0,0,0,0,0,5,,,,0.0,0.0,2.39,0.0,3.98,0,5,6
766,a,,,4.0,730,200.0,0,0.0,0,0.0,0.0,637,228.0,0,0,0.0,631.0,240.0,0,0,0.0,478.0,190.0,0.0,0.0,0.0,3828,47,2189,38,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,622.0,240.0,0.0,615.0,240.0,0.0,584.0,237.0,0.0,624.0,240.0,,,,33,,Saheed,Olagunju,Olagunju,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
767,a,,,4.5,497,307.0,0,0.0,0,0.0,0.0,765,325.0,0,0,0.0,750.0,315.0,0,0,0.0,663.0,256.0,0.0,0.0,0.0,1225,9,809,9,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,748.0,313.0,0.0,741.0,313.0,0.0,728.0,309.0,0.0,748.0,313.0,,,,33,,Luke,Rawlings,Rawlings,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
14,u,0.0,0.0,3.9,787,231.0,0,0.0,-1,1.0,0.1,499,178.0,0,0,0.0,575.0,209.0,0,0,0.0,412.0,152.0,0.0,0.0,0.0,10218,0,22758,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565.0,208.0,0.0,554.0,208.0,0.0,521.0,203.0,0.0,567.0,208.0,,,,33,,Maldini,Kacurri,Kacurri,has joined Morecambe on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
16,i,0.0,0.0,9.8,6,4.0,0,0.0,-2,2.0,7.1,58,20.0,133,0,4.9,17.0,7.0,14,497,0.0,827.0,372.0,0.0,13.6,0.0,4151513,81,5226661,12086,0.0,0.0,6.99,5.75,12.74,14.36,0.32,0.26,0.58,0.65,538.8,78.0,23.0,725.9,12.0,12.0,762.0,8.0,3.0,202.9,11.0,8.0,2.0,2.0,1.0,33,,Bukayo,Saka,Saka,Achilles injury - Unknown return date,,1995,6,8,10,16,0,0,0,1,0,0,22,163,,,,0.0,0.45,0.72,0.99,7.35,35,24,104
